"Grade","Set Name","Set Type","Part Name","Part URL","Image File","Local Image Path","Sealed PDef","Unsealed PDef","Unseal Fee","Physical Defense","MP Boost","Sealed Variant Name","Sealed Variant URL","Set Bonuses"
"S Grade","Imperial Crusader Heavy Armor Set","Heavy Armor Set","Imperial Crusader Breastplate","https://lineage.pmfun.com/item/6373/imperial-crusader-breastplate.html","armor_t88_u_i00_0.png","images/armor_t88_u_i00_0.png","193","205","1,072,500 AA","","","","","P Def. +8% | Maximum HP +445 | Sleep/Hold Probability -70% | DEX -2 | STR +2 | Probability of Poison/Bleed -80% with Imperial Crusader Shield equipped."
"S Grade","Imperial Crusader Heavy Armor Set","Heavy Armor Set","Imperial Crusader Gaiters","https://lineage.pmfun.com/item/6374/imperial-crusader-gaiters.html","armor_t88_l_i00_0.png","images/armor_t88_l_i00_0.png","121","128","672,000 AA","","","","","P Def. +8% | Maximum HP +445 | Sleep/Hold Probability -70% | DEX -2 | STR +2 | Probability of Poison/Bleed -80% with Imperial Crusader Shield equipped."
"S Grade","Imperial Crusader Heavy Armor Set","Heavy Armor Set","Imperial Crusader Helmet","https://lineage.pmfun.com/item/6378/imperial-crusader-helmet.html","armor_helmet_i00_0.png","images/armor_helmet_i00_0.png","83","-","402,750 AA","","","","","P Def. +8% | Maximum HP +445 | Sleep/Hold Probability -70% | DEX -2 | STR +2 | Probability of Poison/Bleed -80% with Imperial Crusader Shield equipped."
"S Grade","Imperial Crusader Heavy Armor Set","Heavy Armor Set","Imperial Crusader Gauntlets","https://lineage.pmfun.com/item/6375/imperial-crusader-gauntlets.html","armor_t88_g_i00_0.png","images/armor_t88_g_i00_0.png","55","-","268,500 AA","","","","","P Def. +8% | Maximum HP +445 | Sleep/Hold Probability -70% | DEX -2 | STR +2 | Probability of Poison/Bleed -80% with Imperial Crusader Shield equipped."
"S Grade","Imperial Crusader Heavy Armor Set","Heavy Armor Set","Imperial Crusader Boots","https://lineage.pmfun.com/item/6376/imperial-crusader-boots.html","armor_t88_b_i00_0.png","images/armor_t88_b_i00_0.png","55","-","268,500 AA","","","","","P Def. +8% | Maximum HP +445 | Sleep/Hold Probability -70% | DEX -2 | STR +2 | Probability of Poison/Bleed -80% with Imperial Crusader Shield equipped."
"S Grade","Imperial Crusader Heavy Armor Set","Heavy Armor Set","Imperial Crusader Shield","https://lineage.pmfun.com/item/6377/imperial-crusader-shield.html","shield_imperial_crusader_shield_i00_0.png","images/shield_imperial_crusader_shield_i00_0.png","276","290","282,000 AA","","","","","P Def. +8% | Maximum HP +445 | Sleep/Hold Probability -70% | DEX -2 | STR +2 | Probability of Poison/Bleed -80% with Imperial Crusader Shield equipped."
"S Grade","Draconic Leather Light Armor Set","Light Armor Set","Draconic Leather Armor","https://lineage.pmfun.com/item/6379/draconic-leather-armor.html","armor_t89_ul_i00_0.png","images/armor_t89_ul_i00_0.png","236","249","1,305,000 AA","","","","","Attack Speed/P. Atk +4% | Maximum MP +289 | Weight Limit +5759 | DEX +1 | STR +1 | CON -2"
"S Grade","Draconic Leather Light Armor Set","Light Armor Set","Draconic Leather Helmet","https://lineage.pmfun.com/item/6382/draconic-leather-helmet.html","armor_leather_helmet_i00_0.png","images/armor_leather_helmet_i00_0.png","93","-","402,750 AA","","","","","Attack Speed/P. Atk +4% | Maximum MP +289 | Weight Limit +5759 | DEX +1 | STR +1 | CON -2"
"S Grade","Draconic Leather Light Armor Set","Light Armor Set","Draconic Leather Gloves","https://lineage.pmfun.com/item/6380/draconic-leather-gloves.html","armor_t89_g_i00_0.png","images/armor_t89_g_i00_0.png","55","-","268,500 AA","","","","","Attack Speed/P. Atk +4% | Maximum MP +289 | Weight Limit +5759 | DEX +1 | STR +1 | CON -2"
"S Grade","Draconic Leather Light Armor Set","Light Armor Set","Draconic Leather Boots","https://lineage.pmfun.com/item/6381/draconic-leather-boots.html","armor_t89_b_i00_0.png","images/armor_t89_b_i00_0.png","55","-","268,500 AA","","","","","Attack Speed/P. Atk +4% | Maximum MP +289 | Weight Limit +5759 | DEX +1 | STR +1 | CON -2"
"S Grade","Major Arcana Robe Set","Robe Set","Major Arcana Robe","https://lineage.pmfun.com/item/6383/major-arcana-robe.html","armor_t90_ul_i00_0.png","images/armor_t90_ul_i00_0.png","157","166 + 866 MP","1,305,000 AA","","","","","M. Atk +17% | Movement Speed +7 | Casting Cancel Probability -50% | Weight Limit +5759 | WIT +1 | INT +1 | MEN -2 | Stun resistance +50%"
"S Grade","Major Arcana Robe Set","Robe Set","Major Arcana Circlet","https://lineage.pmfun.com/item/6386/major-arcana-circlet.html","armor_leather_helmet_i00_0.png","images/armor_leather_helmet_i00_0.png","83","-","402,750 AA","","","","","M. Atk +17% | Movement Speed +7 | Casting Cancel Probability -50% | Weight Limit +5759 | WIT +1 | INT +1 | MEN -2 | Stun resistance +50%"
"S Grade","Major Arcana Robe Set","Robe Set","Major Arcana Gloves","https://lineage.pmfun.com/item/6384/major-arcana-gloves.html","armor_t90_g_i00_0.png","images/armor_t90_g_i00_0.png","55","-","268,500 AA","","","","","M. Atk +17% | Movement Speed +7 | Casting Cancel Probability -50% | Weight Limit +5759 | WIT +1 | INT +1 | MEN -2 | Stun resistance +50%"
