ID,Name_EN,Name_RU,Grade,Craft_Level,Type,Icon
17,"Wooden Arrow","Деревянная Стрела",,1,etcitem,/etc_wooden_quiver_i00.webp
734,"Haste Potion","Зелье Ускорения",,1,etcitem,/etc_potion_green_i00.webp
735,"Potion of Alacrity","Зелье Быстрой Атаки",,1,etcitem,/etc_reagent_green_i00.webp
1060,"Lesser Healing Potion","Малое Зелье Исцеления",,1,etcitem,/etc_lesser_potion_red_i00.webp
1831,"Antidote","Противоядие",,1,etcitem,/etc_herb_green_i00.webp
1833,"Bandage","Бинт",,1,etcitem,/etc_piece_of_cloth_white_i00.webp
3030,"Key of Titan","Ключ Гигантов",,1,etcitem,/etc_key_i00.webp
3139,"Journeyman Ring","Кольцо Мастера",,1,questitem,/accessary_ring_of_blessing_i00.webp
1061,"Healing Potion","Зелье Исцеления",,2,etcitem,/etc_potion_scarlet_i00.webp
1832,"Greater Antidote","Сильное Противоядие",,2,etcitem,/etc_reagent_green_i00.webp
1834,"Emergency Dressing","Большой Бинт",,2,etcitem,/etc_piece_of_cloth_white_i00.webp
3136,"Amber Bead","Янтарная Бусинка",,2,questitem,/etc_crystal_ball_red_i00.webp
3846,"Titan's Powerstone","Машина Гигантов",,2,etcitem,/etc_mechanic_box_i00.webp
1374,"Greater Haste Potion","Большое Зелье Ускорения",,3,etcitem,/etc_lesser_potion_green_i00.webp
1375,"Greater Swift Attack Potion","Большое Зелье Стремительной Атаки",,3,etcitem,/etc_lesser_potion_purple_i00.webp
1539,"Greater Healing Potion","Большое Зелье Исцеления",,5,etcitem,/etc_reagent_white_i00.webp
1878,"Braided Hemp","Плетеный Лен",NG,1,resource,/etc_braided_hemp_i00.webp
1880,"Steel","Сталь",NG,1,resource,/etc_lump_black_i00.webp
1883,"Steel Mold","Стальная Заготовка",NG,2,resource,/etc_mold_i00.webp
1879,"Cokes","Кокс",D,1,resource,/etc_oil_pot_black_i00.webp
1881,"Coarse Bone Powder","Грубый Костный Порошок",D,1,resource,/etc_powder_white_i00.webp
1882,"Leather","Кожа",D,1,resource,/etc_leather_i00.webp
1341,"Bone Arrow","Костяная Стрела",D,2,etcitem,/etc_bone_quiver_i00.webp
1463,"Soulshot: D-grade","Заряд Души: Ранг D",D,2,soulshot,/etc_spirit_bullet_blue_i00.webp
1884,"Cord","Веревка",D,2,resource,/etc_skein_gray_i00.webp
