Category,Subtype,ID,Name_EN,Name_RU,Grade,PAtk,MAtk,PDef,MDef,Icon,Description_EN
weapons,dagger,10,"Dagger","Кинжал",NG,5,5,,,/weapon_dagger_i00.webp,"No description for this item"
weapons,dagger,11,"Bone Dagger","Костяной Кинжал",NG,7,6,,,/weapon_bone_dagger_i00.webp,"No description for this item"
weapons,dagger,12,"Knife","Нож",NG,10,9,,,/weapon_knife_i00.webp,"No description for this item"
weapons,dagger,215,"Doom Dagger","Кинжал Рока",NG,10,9,,,/weapon_doomed_dagger_i00.webp,"No description for this item"
weapons,dagger,3471,"Cybellin's Dagger","Кинжал Сибелин",NG,10,9,,,/weapon_doomed_dagger_i00.webp,"Dagger used in ceremony to raise the purity of blood crystal."
weapons,dagger,4665,"Pipette Knife","Нож с Кровостоком",NG,10,9,,,/weapon_knife_i00.webp,"An instrument used to collect the blood of living creatures. Use it to cut Baium and obtain a blood sample."
weapons,dagger,989,"Eldritch Dagger","Пугающий Кинжал",NG,11,10,,,/weapon_knife_i00.webp,"A steel dagger engraved with the runes of Shilen and Gran Kain."
weapons,dagger,216,"Dirk","Кортик",NG,15,12,,,/weapon_dirk_i00.webp,"No description for this item"
weapons,dagger,1182,"Neti's Dagger","Кинжал Нети",NG,19,16,,,/weapon_knife_i00.webp,"Neti used this dagger when she was a Treasure Hunter. Use it when hunting the skeletons and spartoi of the Ruins of Agony to gather bone pieces."
weapons,dagger,217,"Shining Knife","Сверкающий Нож",NG,21,17,,,/weapon_shining_knife_i00.webp,"No description for this item"
weapons,dagger,218,"Throwing Knife","Метательный Нож",NG,21,17,,,/weapon_throw_knife_i00.webp,"No description for this item"
weapons,dagger,219,"Sword Breaker","Мечелом",NG,27,21,,,/weapon_sword_breaker_i00.webp,"No description for this item"
weapons,dagger,220,"Crafted Dagger","Кованый Кинжал",D,35,26,,,/weapon_handiwork_dagger_i00.webp,"No description for this item"
weapons,dagger,221,"Assassin Knife","Нож Ассасина",D,35,26,,,/weapon_assassin_knife_i00.webp,"No description for this item"
weapons,dagger,222,"Poniard Dagger","Трехгранный Кинжал",D,45,32,,,/weapon_dirk_i00.webp,"No description for this item"
weapons,dagger,223,"Kukuri","Кукри",D,56,39,,,/weapon_kukuri_i00.webp,"No description for this item"
