Role,ID,Name_EN,Name_RU,Level,Race,EXP,Icon
Boss,discard_guardian,"Discarded Guardian","Отверженный Стражник",20,Construct,3041766,/skill4291.webp
Boss,zombie_lord_farakelsus,"Zombie Lord Farakelsus","Повелитель Зомби Фаракелсус",20,Undead,3041766,/skill4290.webp
Boss,madness_beast,"Madness Beast","Зверь Безумия",20,Beast,3041766,/skill4292.webp
Boss,serpent_demon_bifrons,"Serpent Demon Bifrons","Змеедемон Бифронс",21,Beast,2646357,/skill4292.webp
Boss,sukar_wererat_chief,"Sukar Wererat Chief","Вожак Трусливых Крысолюдов",21,Humanoid,2646357,/skill4295.webp
Boss,malex_herald_of_dagoniel,"Malex Herald of Dagoniel ","Герольд Дагониэля Малекс",21,Demonic,2646357,/skill4298.webp
Boss,kaysha_herald_of_ikaros,"Kaysha Herald of Icarus","Герольд Икара Кайша",21,Demonic,2646357,/skill4298.webp
Boss,greyclaw_kutus,"Greyclaw Kutus","Кутус Серый Коготь",23,Humanoid,2690117,/skill4295.webp
Boss,tracker_sharuk,"Tracker Leader Sharuk","Главарь Охотников Шарук",23,Humanoid,2690117,/skill4295.webp
Boss,priest_of_kuroboros,"Kuroboros' Priest","Жрец Куробороса",23,Humanoid,2690117,/skill4295.webp
Boss,love_reverser_kael,"Unrequited Kael","Отверженная Каэль",24,Demonic,2584114,/skill4298.webp
Boss,langk_matriarch_rashkos,"Langk Matriarch Rashkos","Матриарх Лангк Рашкос",24,Humanoid,2584114,/skill4295.webp
Boss,pan_draid,"Pan Dryad","Пан Дриад",25,Fairy,2541012,/skill4302.webp
Boss,princess_molrang,"Princess Molrang","Принцесса Молранг",25,Animal,2541012,/skill4293.webp
Boss,zombie_lord_crowl,"Zombie Lord Crowl","Повелитель Зомби Кроул",25,Undead,2541012,/skill4290.webp
Boss,ikuntai,"Ikuntai","Икунтай",25,Undead,1589296,/skill4290.webp
Boss,soul_scavenger,"Soul Scavenger","Собиратель Душ",25,Undead,2541012,/skill4290.webp
Boss,betrayer_of_urutu_freki,"Betrayer of Urutu Freki","Предатель Уруту Фреки",25,Humanoid,2541012,/skill4295.webp
Boss,mammons_collector_talos,"Mammon Collector Talos","Коллекционер Маммона Талос",25,Demonic,2541012,/skill4298.webp
Boss,tiger_hornet,"Tiger Hornet","Тигровый Шершень",26,Bug,2487618,/skill4301.webp
Boss,patriarch_kuroboros,"Patriarch Kuroboros","Патриарх Куроборос",26,Humanoid,2487618,/skill4295.webp
Boss,tirak,"Tirak","Тирак",28,Demonic,2390045,/skill4298.webp
Boss,partisan_leader_talakin,"Partisan Leader Talakin","Главарь Партизан Талакин",28,Humanoid,2390045,/skill4295.webp
Boss,r08_leader_anakazel,"Anakazel","Анаказель",28,Demonic,1673031,/skill4298.webp
Boss,elf_renoa,"Elf Renoa","Эльф Реноа",29,Undead,2345715,/skill4290.webp
Boss,turek_mercenary_boss,"Turek Mercenary Captain","Капитан Наемников Турек",30,Humanoid,1868579,/skill4295.webp
Boss,catseye,"Cat's Eye Bandit","Бандит Кошачий Глаз",30,Humanoid,1868579,/skill4295.webp
Boss,meana_agent_of_beres,"Agent of Beres, Meana","Агент Белефа Мина",30,Beast,2308288,/skill4292.webp
Boss,ragraman,"Ragraman","Раграмэн",30,Humanoid,1868579,/skill4295.webp
Boss,apepi,"Apepi","Апепи",30,Beast,2308288,/skill4292.webp
Boss,giant_wasteland_basil,"Giant Wasteland Basilisk","Гигантский Пустырный Василиск",30,Beast,2308288,/skill4292.webp
Boss,grave_robber_akata,"Boss Akata","Босс Аката",30,Humanoid,2308288,/skill4295.webp
Boss,queens_nobel_leader,"Captain of Queen's Royal Guards","Капитан Королевской Стражи",32,Humanoid,1962692,/skill4295.webp
Boss,antaras_adherent_skyla,"Skyla","Скайла",32,Humanoid,1962692,/skill4295.webp
Boss,vuku_witchdr_gharmash,"Vuku Grand Seer Gharmash","Великий Пророк Вуку Гармаш",33,Humanoid,1932560,/skill4295.webp
Boss,nurkas_messenger,"Nurka's Messenger","Посланец Нурки",33,Humanoid,1932560,/skill4295.webp
Boss,corsair_captain_kylon,"Corsair Captain Kylon","Капитан Корсаров Килон",33,Undead,1932560,/skill4290.webp
Boss,breka_warlock_pastu,"Breka Warlock Pastu","Колдун Брека Пасту",34,Humanoid,1918617,/skill4295.webp
Boss,jeruna_queen,"Stakato Queen Zyrnna","Королева Стакато Зирна",34,Humanoid,2316590,/skill4295.webp
