ID,Name_EN,Name_RU,Type,Levels,Icon
3-power-strike,"Power Strike","Мощный Удар",active,9,/skill0003.webp
4-dash,"Dash","Рывок",active,2,/skill0004.webp
16-mortal-blow,"Mortal Blow","Смертельный Удар",active,24,/skill0016.webp
21-poison-recovery,"Poison Recovery","Вывести Яд",active,3,/skill0021.webp
28-hate,"Aggression","Агрессия",active,49,/skill0028.webp
45-touch-of-god,"Divine Heal","Святое Лечение",active,9,/skill0045.webp
56-power-shot,"Power Shot","Мощный Выстрел",active,24,/skill0056.webp
58-elemental-heal,"Elemental Heal","Природное Лечение",active,55,/skill0058.webp
61-cure-bleeding,"Cure Bleeding","Остановка Кровотечения",active,3,/skill0061.webp
70-drain-energy,"Drain Health","Кража Жизни",active,53,/skill0070.webp
77-advanced-attack-power,"Attack Aura","Аура Атаки",active,2,/skill0077.webp
78-war-cry,"War Cry","Боевой Клич",active,2,/skill0078.webp
82-majesty,"Majesty","Величие",active,3,/skill0082.webp
91-advanced-defence-power,"Defense Aura","Аура Защиты",active,2,/skill0091.webp
92-shield-stun,"Shield Stun","Оглушение Щитом",active,52,/skill0092.webp
99-rapid-shot,"Rapid Shot","Быстрый Выстрел",active,2,/skill0099.webp
101-stun-shot,"Stunning Shot","Оглушающий Выстрел",active,40,/skill0101.webp
102-zero-g,"Entangle","Опутать",active,16,/skill0102.webp
105-freezing-strike,"Freezing Strike","Замораживающий Удар",active,24,/skill0105.webp
112-deflect-arrow,"Deflect Arrow","Отклонить Стрелу",active,4,/skill0112.webp
113-long-range-shot,"Long Shot","Дальнобойность",passive,2,/skill0113.webp
115-power-break,"Power Break","Сокрушение Мощи",active,17,/skill0115.webp
118-magicians-movement,"Magician's Movement","Движение Мага",passive,1,/skill0118.webp
121-battle-roar,"Battle Roar","Боевой Рев",active,6,/skill0121.webp
129-poison,"Poison","Отравление",active,5,/skill0129.webp
137-critical-chance,"Critical Chance","Шанс Критического Удара",passive,3,/skill0137.webp
141-weapon-mastery,"Weapon Mastery","Владение Оружием",passive,3,/skill0141.webp
142-armor-mastery,"Armor Mastery","Экипировка Брони",passive,5,/skill0142.webp
146-advanced-magic-defence,"Anti Magic","Антимагия",passive,45,/skill0146.webp
147-magic-resistance,"Magic Resistance","Магическое Сопротивление",passive,51,/skill0147.webp
153-shield-mastery,"Shield Mastery","Владение Щитом",passive,4,/skill0153.webp
163-spell-casting,"Spellcraft","Искусное Колдовство",passive,1,/skill0163.webp
164-fast-spell-recovery,"Quick Recovery","Быстрый Повтор",passive,3,/skill0164.webp
168-fast-attack,"Boost Attack Speed","Увеличить Скорость Атаки",passive,3,/skill0168.webp
169-quick-step,"Quick Step","Быстрый Шаг",passive,2,/skill0169.webp
191-focus-mind,"Focus Mind","Сосредоточенность",passive,6,/skill0191.webp
193-critical-power,"Critical Power","Критическая Мощность",passive,6,/skill0193.webp
194-lucky,"Lucky","Везение",passive,1,/skill0194.webp
198-physical-evasion,"Boost Evasion","Увеличить Уклонение",passive,3,/skill0198.webp
208-bow-mastery,"Bow Mastery","Владение Луком",passive,52,/skill0208.webp
209-dagger-mastery,"Dagger Mastery","Владение Кинжалом",passive,45,/skill0209.webp
211-boost-hp,"Boost HP","Увеличение HP",passive,10,/skill0211.webp
212-fast-hp-recovery,"Fast HP Recovery","Быстрое Восстановление HP",passive,8,/skill0212.webp
213-boost-mana,"Boost Mana","Увеличить MP",passive,8,/skill0213.webp
